SV_ID,Property_Name,BHK,Property_Type,City,Primary_USP,OTA_Platform,Current_Title,Current_Len,Suggested_Title,Suggested_Len,Limit,Status,Change_Rationale,Listing_URL
29,Serene,3,Villa,Karjat,Plunge Pool,Booking.com,Serene Villa by StayVista - A Hill-View Villa with Plunge pool,62,Serene Villa by StayVista - 3BHK w/ Plunge Pool,47,50,ready_to_sync,Fixed length overflow: was 62/50 chars (truncated in search cards),https://www.booking.com/hotel/in/3bhk-villa-in-karjat.html
29,Serene,3,Villa,Karjat,Plunge Pool,MakeMyTrip,StayVista | Vista Serene 3 BHK Villa,36,3BHK Serene Villa • Plunge Pool • Karjat,40,50,ready_to_sync,"Removed non-compliant/cluttered characters ('|', '@', '+')",https://www.makemytrip.com/hotels/hotel-details/?hotelId=202104011946227630&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
125,La Petite Maison,3,Villa,Lonavala,Mountain View,Agoda,StayVista at La Petite Maison,29,3-Bedroom La Petite Maison Villa in Lonavala,44,50,ready_to_sync,Structured into clean standard formula: Size + Name + USP + Location,https://www.agoda.com/en-in/la-petite-maison/hotel/lonavala-in.html
125,La Petite Maison,3,Villa,Lonavala,Mountain View,Airbnb,3BR Mountain View | StayVista La Petite | Lonavala,50,3BHK La Petite Maison Villa w/ Mountain View,44,44,ready_to_sync,"Fixed length overflow: was 50/44 chars (truncated in search cards); Removed non-compliant/cluttered characters ('|', '@', '+'); Removed redundant brand name on Airbnb (saves space for top USP)",https://www.airbnb.co.in/rooms/22575625
125,La Petite Maison,3,Villa,Lonavala,Mountain View,Booking.com,"La Petite Maison Villa by VEO, StayVista - 3BHK with Valley View & Lawn",71,La Petite Maison Villa - 3BHK with Mountain View,48,50,ready_to_sync,Fixed length overflow: was 71/50 chars (truncated in search cards),https://www.booking.com/hotel/in/la-petite-maison.html
125,La Petite Maison,3,Villa,Lonavala,Mountain View,MakeMyTrip,StayVista | La Petite Maison 3 BHK Villa,40,3BHK La Petite Maison • Mountain View • Lonavala,48,50,ready_to_sync,"Removed non-compliant/cluttered characters ('|', '@', '+')",https://www.makemytrip.com/hotels/hotel-details/?hotelId=201802131542209732&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
121,Stone  Bezze,2,House,Nashik,Mountain View,Agoda,Stone House Bezze by StayVista with Lake view & Lawn - your perfect getaway,75,2-Bedroom Stone  Bezze House in Nashik,38,50,ready_to_sync,Fixed length overflow: was 75/50 chars (truncated in search cards),https://www.agoda.com/en-in/the-stone-house-2bhk-w-jacuzzi-near-sula-vineyards/hotel/nasik-in.html
121,Stone  Bezze,2,House,Nashik,Mountain View,Airbnb,2BR StayVista Stone House Bezze@Nashik,38,2BHK Stone  Bezze House w/ Mountain View,40,44,ready_to_sync,"Removed non-compliant/cluttered characters ('|', '@', '+'); Removed redundant brand name on Airbnb (saves space for top USP)",https://www.airbnb.co.in/rooms/23407148
121,Stone  Bezze,2,House,Nashik,Mountain View,Booking.com,"The Stone House in Beze by VEO, StayVista - 2BHK with Mountain View & Bonfire",77,Stone  Bezze House - 2BHK with Mountain View,44,50,ready_to_sync,Fixed length overflow: was 77/50 chars (truncated in search cards),https://www.booking.com/hotel/in/beze-the-stone-house-nashik.html
121,Stone  Bezze,2,House,Nashik,Mountain View,MakeMyTrip,StayVista | The Stone House In Beze,35,2BHK Stone  Bezze House • Mountain View • Nashik,48,50,ready_to_sync,"Removed non-compliant/cluttered characters ('|', '@', '+'); Added prominent BHK prefix for domestic filter matching",https://www.makemytrip.com/hotels/hotel-details/?hotelId=201901141906422989&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
150,Moksh,4,Villa,India,Jacuzzi,Agoda,StayVista at Moksh Villa - BBQ & Jacuzzi,40,"4-Bedroom Moksh Villa, India w/ Jacuzzi",39,50,ready_to_sync,Structured into clean standard formula: Size + Name + USP + Location,https://www.agoda.com/en-in/moksh/hotel/zirad-in.html
150,Moksh,4,Villa,India,Jacuzzi,Airbnb,StayVista at Moksh Villa - 4BR -Jacuzzi & TT Table,50,4BHK Moksh • Jacuzzi & BBQ,26,44,ready_to_sync,Fixed length overflow: was 50/44 chars (truncated in search cards); Removed redundant brand name on Airbnb (saves space for top USP),https://www.airbnb.co.in/rooms/1730870489567411287
150,Moksh,4,Villa,India,Jacuzzi,Booking.com,StayVista's Moksh Villa - 4BHK with Pickle Ball & Sauna,55,Moksh Villa by StayVista - 4BHK w/ Jacuzzi,42,50,ready_to_sync,Fixed length overflow: was 55/50 chars (truncated in search cards),https://www.booking.com/hotel/in/vista-moksh-villa.html
150,Moksh,4,Villa,India,Jacuzzi,MakeMyTrip,StayVista | Moksh 4 BHK Villa,29,4BHK Moksh Villa • Jacuzzi • India,34,50,ready_to_sync,"Removed non-compliant/cluttered characters ('|', '@', '+')",https://www.makemytrip.com/hotels/hotel-details/?hotelId=201901101244594913&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
107,EL,4,Villa,Lonavala,Pool,Agoda,El House by StayVista - Unwind in a Villa w/ Pool,49,"4-Bedroom EL Villa, Lonavala w/ Pool",36,50,ready_to_sync,Structured into clean standard formula: Size + Name + USP + Location,https://www.agoda.com/en-in/el-house-by-vista-rooms/hotel/lonavala-in.html
107,EL,4,Villa,Lonavala,Pool,Airbnb,4bhk- Pvt Pool+Lawn-El House @Lonavala,38,4BHK EL • Pool & Lawn,21,44,ready_to_sync,"Removed non-compliant/cluttered characters ('|', '@', '+')",https://www.airbnb.co.in/rooms/23135024
107,EL,4,Villa,Lonavala,Pool,Booking.com,El House by StayVista - Unwind in a Villa with Pool and Lush Lawn,65,EL Villa by StayVista - 4BHK w/ Pool,36,50,ready_to_sync,Fixed length overflow: was 65/50 chars (truncated in search cards),https://www.booking.com/hotel/in/el-house-by-vista.html
107,EL,4,Villa,Lonavala,Pool,MakeMyTrip,StayVista | EL House 4 BHK Villa,32,4BHK EL Villa • Pool • Lonavala,31,50,ready_to_sync,"Removed non-compliant/cluttered characters ('|', '@', '+')",https://www.makemytrip.com/hotels/hotel-details/?hotelId=201901091226204920&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
142,Retreat on Cloud 9 Homestay,2,Villa,Lonavala,Orchard,Agoda,Cosy Homestay by StayVista - A Tranquil Retreat on Cloud 9,58,2-Bedroom Villa in Lonavala w/ Orchard,38,50,ready_to_sync,Fixed length overflow: was 58/50 chars (truncated in search cards),https://www.agoda.com/en-in/retreat-on-cloud-9-by-vista-rooms/hotel/lonavala-in.html
142,Retreat on Cloud 9 Homestay,2,Villa,Lonavala,Orchard,Airbnb,Retreat on Cloud 9 Homestay with Vintage rooms,46,2BHK Retreat on Cloud 9 Homestay w/ Orchard,43,44,ready_to_sync,Fixed length overflow: was 46/44 chars (truncated in search cards),https://www.airbnb.co.in/rooms/24479920
142,Retreat on Cloud 9 Homestay,2,Villa,Lonavala,Orchard,Booking.com,StayVista's Retreat on Cloud 9 Homestay - 2BHK Mountain-View Homestay with Orchard,82,Retreat on Cloud 9 Homestay by StayVista - 2BHK Or,50,50,ready_to_sync,Fixed length overflow: was 82/50 chars (truncated in search cards),https://www.booking.com/hotel/in/retreat-on-cloud-9-lonavala.html
142,Retreat on Cloud 9 Homestay,2,Villa,Lonavala,Orchard,MakeMyTrip,StayVista | 2 BHK Retreat On Cloud 9 Villa,42,2BHK Villa • Orchard • Lonavala,31,50,ready_to_sync,"Removed non-compliant/cluttered characters ('|', '@', '+')",https://www.makemytrip.com/hotels/hotel-details/?hotelId=201901091424516381&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
462,Casa del Verde,4,Villa,Alibaug,Private Pool,Agoda,StayVista at Casa del Verde,27,4-Bedroom Casa del Verde Villa in Alibaug,41,50,ready_to_sync,Structured into clean standard formula: Size + Name + USP + Location,https://www.agoda.com/4bhk-private-pool-near-sula-vineyards/hotel/alibaug-in.html
462,Casa del Verde,4,Villa,Alibaug,Private Pool,Airbnb,"4BR- @Casa Del Verde, w/pool, lawn &bonfire",43,4BHK Casa del Verde • Private Pool & Lawn,41,44,ready_to_sync,"Removed non-compliant/cluttered characters ('|', '@', '+')",https://www.airbnb.co.in/rooms/35356405
462,Casa del Verde,4,Villa,Alibaug,Private Pool,Booking.com,StayVista's Casa Del Verde - 4BHK Mountain-View Villa with Private Pool,71,Casa del Verde Villa - 4BHK with Private Pool,45,50,ready_to_sync,Fixed length overflow: was 71/50 chars (truncated in search cards),https://www.booking.com/hotel/in/casa-del-verde-by-vista-rooms.html
462,Casa del Verde,4,Villa,Alibaug,Private Pool,MakeMyTrip,StayVista | Casa Del Verde 4 BHK Villa,38,4BHK Casa del Verde Villa • Private Pool • Alibaug,50,50,ready_to_sync,"Removed non-compliant/cluttered characters ('|', '@', '+')",https://www.makemytrip.com/hotels/hotel-details/?hotelId=201906281817296202&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
166,Le Sutra Great Escapes,3,Villa,Lonavala,Pool,Agoda,StayVista's Le Sutra Great Escapes - Geometrica,47,3-Bedroom Le Sutra Great Escapes Villa in Lonavala,50,50,ready_to_sync,Structured into clean standard formula: Size + Name + USP + Location,https://www.agoda.com/en-in/breeze-in-the-hills-3bhk-luxury-pool-villa/hotel/lonavala-in.html
166,Le Sutra Great Escapes,3,Villa,Lonavala,Pool,Airbnb,"Le Sutra Geometrica- 3BR Luxe Pool Villa, Lonavala",50,3BHK Le Sutra Great Escapes Villa w/ Pool,41,44,ready_to_sync,Fixed length overflow: was 50/44 chars (truncated in search cards),https://www.airbnb.co.in/rooms/43039748
166,Le Sutra Great Escapes,3,Villa,Lonavala,Pool,Booking.com,StayVista's Le Sutra Great Escapes - Geometrica - 3BHK Villa with Bar,69,Le Sutra Great Escapes Villa - 3BHK with Pool,45,50,ready_to_sync,Fixed length overflow: was 69/50 chars (truncated in search cards),https://www.booking.com/hotel/in/breeze-on-the-hill.html
166,Le Sutra Great Escapes,3,Villa,Lonavala,Pool,MakeMyTrip,StayVista | Le Sutra Great Escapes - Geometrica,47,3BHK Le Sutra Great Escapes • Pool • Lonavala,45,50,ready_to_sync,"Removed non-compliant/cluttered characters ('|', '@', '+'); Added prominent BHK prefix for domestic filter matching",https://www.makemytrip.com/hotels/hotel-details/?hotelId=201901161617091478&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
100,Bungalow 89,4,Villa,Lonavala,Private Pool,Agoda,StayVista at Bungalow 89,24,4-Bedroom Bungalow 89 Villa in Lonavala,39,50,ready_to_sync,Structured into clean standard formula: Size + Name + USP + Location,https://www.agoda.com/en-in/bungalow-89/hotel/lonavala-in.html
100,Bungalow 89,4,Villa,Lonavala,Private Pool,Airbnb,4BR Scenic View Stay | Bungalow 89 Lonavala,43,4BHK Bungalow 89 Villa w/ Private Pool,38,44,ready_to_sync,"Removed non-compliant/cluttered characters ('|', '@', '+')",https://www.airbnb.co.in/rooms/39373208
100,Bungalow 89,4,Villa,Lonavala,Private Pool,Booking.com,Bungalow 89 by StayVista - A hill-view villa adorned with eclectic interiors for a truly unique & captivating stay,114,Bungalow 89 Villa - 4BHK with Private Pool,42,50,ready_to_sync,Fixed length overflow: was 114/50 chars (truncated in search cards),https://www.booking.com/hotel/in/bungalow-89.html
100,Bungalow 89,4,Villa,Lonavala,Private Pool,MakeMyTrip,StayVista at Bungalow 89,24,4BHK Bungalow 89 Villa • Private Pool • Lonavala,48,50,ready_to_sync,Added prominent BHK prefix for domestic filter matching,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201911051733158719&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
288,Shivom  12,3,Villa,Lonavala,Infinity Pool,Agoda,Shivom Villa 12 by Vista Rooms,30,3-Bedroom Shivom  12 Villa in Lonavala,38,50,ready_to_sync,Structured into clean standard formula: Size + Name + USP + Location,https://www.agoda.com/en-in/shivom-villa-12-by-vista-rooms/hotel/lonavala-in.html
288,Shivom  12,3,Villa,Lonavala,Infinity Pool,Airbnb,3R Villa w/infinity pool+bonfire-ShivomVilla@Pawna,50,3BHK Shivom  12 • Infinity Pool & Lake View,43,44,ready_to_sync,"Fixed length overflow: was 50/44 chars (truncated in search cards); Removed non-compliant/cluttered characters ('|', '@', '+')",https://www.airbnb.co.in/rooms/656086305778944797
288,Shivom  12,3,Villa,Lonavala,Infinity Pool,Booking.com,"Shivom Villa 12 - Pawna by Gram's, StayVista - 3BHK with Lake View & Infinity Pool",82,Shivom  12 Villa - 3BHK with Infinity Pool,42,50,ready_to_sync,Fixed length overflow: was 82/50 chars (truncated in search cards),https://www.booking.com/hotel/in/shivom-villa-12-by-vista-rooms.html
288,Shivom  12,3,Villa,Lonavala,Infinity Pool,MakeMyTrip,StayVista | Shivom Villa 12,27,3BHK Shivom  12 Villa • Infinity Pool • Lonavala,48,50,ready_to_sync,"Removed non-compliant/cluttered characters ('|', '@', '+'); Added prominent BHK prefix for domestic filter matching",https://www.makemytrip.com/hotels/hotel-details/?hotelId=201905251444585405&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
223,Greenwoods  10,5,Villa,Lonavala,Private Pool,Agoda,Greenwoods Ten by Vista Rooms,29,5-Bedroom Greenwoods  10 Villa in Lonavala,42,50,ready_to_sync,Structured into clean standard formula: Size + Name + USP + Location,https://www.agoda.com/en-in/5bhk-greenwoods-with-pvt-pool-tt-table-games-h10572627/hotel/lonavala-in.html
223,Greenwoods  10,5,Villa,Lonavala,Private Pool,Airbnb,5BR|Pool|StayVista| Greenwoods Villa 10 @Lonavala,49,5BHK Greenwoods  10 Villa w/ Private Pool,41,44,ready_to_sync,"Fixed length overflow: was 49/44 chars (truncated in search cards); Removed non-compliant/cluttered characters ('|', '@', '+'); Removed redundant brand name on Airbnb (saves space for top USP)",https://www.airbnb.co.in/rooms/655495556116702783
223,Greenwoods  10,5,Villa,Lonavala,Private Pool,Booking.com,"StayVista's Greenwoods Villa 10 - City-Center Villa with Private Pool, Terrace, Lift & Carrom Board",99,Greenwoods  10 Villa - 5BHK with Private Pool,45,50,ready_to_sync,Fixed length overflow: was 99/50 chars (truncated in search cards),https://www.booking.com/hotel/in/greenwoods-villa-10.html
223,Greenwoods  10,5,Villa,Lonavala,Private Pool,MakeMyTrip,StayVista | 5 BHK Greenwoods Ten Villa,38,5BHK Greenwoods  10 • Private Pool • Lonavala,45,50,ready_to_sync,"Removed non-compliant/cluttered characters ('|', '@', '+')",https://www.makemytrip.com/hotels/hotel-details/?hotelId=201901161132546958&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
221,Azul,4,Villa,Lonavala,Pool,Agoda,StayVista at Villa Azul,23,"4-Bedroom Azul Villa, Lonavala w/ Pool",38,50,ready_to_sync,Structured into clean standard formula: Size + Name + USP + Location,https://www.agoda.com/azul-4bhk-luxury-villa-with-pool-mini-theater/hotel/lonavala-in.html
221,Azul,4,Villa,Lonavala,Pool,Airbnb,"4bhk-Pool & Lawn -StayVista@Villa Azul, Lonavala",48,4BHK Azul • Pool & Jacuzzi,26,44,ready_to_sync,"Fixed length overflow: was 48/44 chars (truncated in search cards); Removed non-compliant/cluttered characters ('|', '@', '+'); Removed redundant brand name on Airbnb (saves space for top USP)",https://www.airbnb.co.in/rooms/1508607427164556350
221,Azul,4,Villa,Lonavala,Pool,Booking.com,StayVista's Villa Azul - 4BHK with Pool Table & Jacuzzi,55,Azul Villa by StayVista - 4BHK w/ Pool,38,50,ready_to_sync,Fixed length overflow: was 55/50 chars (truncated in search cards),https://www.booking.com/hotel/in/villa-azul.html
221,Azul,4,Villa,Lonavala,Pool,MakeMyTrip,Stayvista | Entire 4 BHK Villa Azul,35,4BHK Azul Villa • Pool • Lonavala,33,50,ready_to_sync,"Removed non-compliant/cluttered characters ('|', '@', '+')",https://www.makemytrip.com/hotels/hotel-details/?hotelId=201909201732439088&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
209,Ashore,6,Villa,Goa,Infinity Pool,Agoda,Ashore by Vista Rooms,21,"6-Bedroom Ashore Villa, Goa w/ Infinity Pool",44,50,ready_to_sync,Structured into clean standard formula: Size + Name + USP + Location,https://www.agoda.com/en-in/ashore-by-vista-rooms/hotel/goa-in.html
209,Ashore,6,Villa,Goa,Infinity Pool,Airbnb,6BR|Rooftop Pool+Beach View|StayVista| Ashore @Goa,50,6BHK Ashore Villa w/ Infinity Pool,34,44,ready_to_sync,"Fixed length overflow: was 50/44 chars (truncated in search cards); Removed non-compliant/cluttered characters ('|', '@', '+'); Removed redundant brand name on Airbnb (saves space for top USP)",https://www.airbnb.co.in/rooms/669967418523452574
209,Ashore,6,Villa,Goa,Infinity Pool,Booking.com,Ashore By Vista - Morjim by StayVista - 6BHK Beach-View Villa with Infinity Pool,80,Ashore Villa by StayVista - 6BHK w/ Infinity Pool,49,50,ready_to_sync,Fixed length overflow: was 80/50 chars (truncated in search cards),https://www.booking.com/hotel/in/ashore-by-vista.html
209,Ashore,6,Villa,Goa,Infinity Pool,MakeMyTrip,StayVista | Ashore 6 BHK Villa,30,6BHK Ashore Villa • Infinity Pool • Goa,39,50,ready_to_sync,"Removed non-compliant/cluttered characters ('|', '@', '+')",https://www.makemytrip.com/hotels/hotel-details/?hotelId=201812051412317595&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
302,Arcadia,3,Villa,Goa,Pool,Agoda,Villa Arcadia by Vista Rooms,28,"3-Bedroom Arcadia Villa, Goa w/ Pool",36,50,ready_to_sync,Structured into clean standard formula: Size + Name + USP + Location,https://www.agoda.com/villa-arcadia-by-vista-rooms/hotel/goa-in.html
302,Arcadia,3,Villa,Goa,Pool,Airbnb,3BR|Pvt Pool+Lux|StayVista| Arcadia Villa@Candolim,50,3BHK Arcadia Villa w/ Pool,26,44,ready_to_sync,"Fixed length overflow: was 50/44 chars (truncated in search cards); Removed non-compliant/cluttered characters ('|', '@', '+'); Removed redundant brand name on Airbnb (saves space for top USP)",https://www.airbnb.co.in/rooms/1572932592590491421
302,Arcadia,3,Villa,Goa,Pool,Booking.com,StayVista's Villa Arcadia - Candolim - 3BHK with Pet Friendly & Alfresco Dining,79,Arcadia Villa by StayVista - 3BHK w/ Pool,41,50,ready_to_sync,Fixed length overflow: was 79/50 chars (truncated in search cards),https://www.booking.com/hotel/in/villa-arcadia.html
302,Arcadia,3,Villa,Goa,Pool,MakeMyTrip,StayVista |3 BHK Pool Villa Arcadia,35,3BHK Arcadia Villa • Pool • Goa,31,50,ready_to_sync,"Removed non-compliant/cluttered characters ('|', '@', '+')",https://www.makemytrip.com/hotels/hotel-details/?hotelId=201909121124584427&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
220,Meer,6,Villa,Nashik,Pool,Agoda,StayVista at Villa Meer,23,"6-Bedroom Meer Villa, Nashik w/ Pool",36,50,ready_to_sync,Structured into clean standard formula: Size + Name + USP + Location,https://www.agoda.com/en-in/5bhk-lake-view-pool-villa-near-sula-wine-tour/hotel/nasik-in.html
220,Meer,6,Villa,Nashik,Pool,Airbnb,6BHK-Villa Meer-w/pool & Huge Lawn-Nashik,41,6BHK Meer • Pool & Lake View,28,44,ready_to_sync,Structured into clean standard formula: Size + Name + USP + Location,https://www.airbnb.co.in/rooms/36398399
220,Meer,6,Villa,Nashik,Pool,Booking.com,StayVista's Villa Meer - 6BHK with Pet Friendly & Lake View,59,Meer Villa by StayVista - 6BHK w/ Pool,38,50,ready_to_sync,Fixed length overflow: was 59/50 chars (truncated in search cards),https://www.booking.com/hotel/in/casa-gris-nashik.html
220,Meer,6,Villa,Nashik,Pool,MakeMyTrip,StayVista | Villa Meer,22,6BHK Meer Villa • Pool • Nashik,31,50,ready_to_sync,"Removed non-compliant/cluttered characters ('|', '@', '+'); Added prominent BHK prefix for domestic filter matching",https://www.makemytrip.com/hotels/hotel-details/?hotelId=201901091551135950&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
256,La Bougainvillea Heritage Home,5,Villa,Goa,Private Pool,Agoda,StayVista at La Bougainvillea Heritage Home,43,5-Bedroom Villa in Goa w/ Private Pool,38,50,ready_to_sync,Structured into clean standard formula: Size + Name + USP + Location,https://www.agoda.com/en-in/la-bougainvillea/hotel/south-goa-in.html
256,La Bougainvillea Heritage Home,5,Villa,Goa,Private Pool,Airbnb,StayVista at La Bougainvillea | Heritage Home,45,5BHK Villa w/ Private Pool,26,44,ready_to_sync,"Fixed length overflow: was 45/44 chars (truncated in search cards); Removed non-compliant/cluttered characters ('|', '@', '+'); Removed redundant brand name on Airbnb (saves space for top USP)",https://www.airbnb.co.in/rooms/549631663649644951
